desertionNo,filename,happenDt,happenPlace,kindCd,colorCd,age,weight,noticeNo,noticeSdt,noticeEdt,popfile,processState,sexCd,neuterYn,specialMark,careNm,careTel,careAddr,orgNm,chargeNm,officetel,noticeComment,numOfRows,pageNo,totalCount,Column1
441409202101728 ,http://www.animal.go.kr/files/shelter/2021/12/20220103150178_s.jpg,2021-12-31,양촌읍 유현삭시로 241번길 63-11 인근,[개] 믹스견,검/흰,2022,3.5,경기-김포-2022-00001,20220103,20220113,http://www.animal.go.kr/files/shelter/2021/12/20220103150178.jpg,종료(안락사),M,N,[Table],한국동물구조관리협회,031-867-9119,경기도 양주시 남면 감악산로 63-37 (남면) ,경기도 김포시,김수연,031-980-2893,,999,1,8309,0
441405202103288 ,http://www.animal.go.kr/files/shelter/2021/12/202201031401535_s.jpg,2021-12-31,용인시 처인구 모현읍 월촌리76-1,[개] 믹스견,갈색,2021,12,경기-용인-2022-00001,20220103,20220113,http://www.animal.go.kr/files/shelter/2021/12/202201031401535.jpg,보호중,M,U,[Table],용인시 동물보호센터,031-324-3463,경기도 용인시 처인구 중부대로 1074-1 (삼가동) 용인시 동물보호센터,경기도 용인시,동물보호과,031-324-3463,,999,1,8309,0
431373202101487 ,http://www.animal.go.kr/files/shelter/2021/12/202201031101375_s.jpg,2021-12-31,대복동천로 27,[고양이] 한국 고양이,검정/흰색,2022,1.9,울산-울주-2022-00002,20220103,20220113,http://www.animal.go.kr/files/shelter/2021/12/202201031101375.jpg,종료(입양),M,N,[Table],울산유기동물보호센터,052-238-6113,울산광역시 울주군 온양읍 발리 1144,울산광역시 울주군,김은지,052-204-1635,,999,1,8309,0
431373202101486 ,http://www.animal.go.kr/files/shelter/2021/12/202201031101880_s.jpg,2021-12-31,"범서읍 굴화장검1길, 한라아트빌",[고양이] 한국 고양이,치즈,2022,1.8,울산-울주-2022-00001,20220103,20220113,http://www.animal.go.kr/files/shelter/2021/12/202201031101880.jpg,종료(자연사),M,N,[Table],울산유기동물보호센터,052-238-6113,울산광역시 울주군 온양읍 발리 1144,울산광역시 울주군,김은지,052-204-1635,,999,1,8309,0
428351202101067 ,http://www.animal.go.kr/files/shelter/2021/12/202201021101365_s.jpg,2021-12-31,미추홀구 아암대로 29번길 13,[고양이] 한국 고양이,삼색,2022,0.2,인천-미추홀-2022-00001,20220103,20220113,http://www.animal.go.kr/files/shelter/2021/12/202201021101365.jpg,종료(자연사),F,N,[Table],인천광역시 수의사회,032-515-7567,"인천광역시 계양구 다남로165번길 56 (다남동, 유기동물보호소) ",인천광역시 미추홀구,미추홀구,032-880-4384,입양전제로 임시보호중,999,1,8309,0
427344202100605 ,http://www.animal.go.kr/files/shelter/2021/12/202201031001328_s.jpg,2021-12-31,명덕로16길 35,[개] 믹스견,검정,2019,7,대구-남구-2022-00002,20220103,20220113,http://www.animal.go.kr/files/shelter/2021/12/202201031001328.jpg,종료(안락사),M,N,[Table],대구유기동물보호협회,053-964-6258,대구광역시 동구 금강로 151-13 (금강동) ,대구광역시 남구,,053-664-2644,,999,1,8309,0
426336202101139 ,http://www.animal.go.kr/files/shelter/2021/12/202201031101924_s.jpg,2021-12-31,맥도강변길 752-15,[고양이] 스코티시폴드,회색,2022,2,부산-강서-2022-00005,20220103,20220113,http://www.animal.go.kr/files/shelter/2021/12/202201031101924.jpeg,종료(자연사),F,N,[Table],부산동물보호센터,051-832-7119,부산광역시 강서구 맥도강변길 752-15 (대저2동) ,부산광역시 강서구,김세희,051-970-4814,,999,1,8309,0
426336202101138 ,http://www.animal.go.kr/files/shelter/2021/12/202201031101365_s.jpg,2021-12-31,맥도강변길 752-15,[고양이] 스코티시폴드,회색,2019,3,부산-강서-2022-00004,20220103,20220113,http://www.animal.go.kr/files/shelter/2021/12/202201031101365.jpeg,종료(입양),F,N,[Table],부산동물보호센터,051-832-7119,부산광역시 강서구 맥도강변길 752-15 (대저2동) ,부산광역시 강서구,김세희,051-970-4814,,999,1,8309,0
426336202101137 ,http://www.animal.go.kr/files/shelter/2021/12/202201031101900_s.jpg,2021-12-31,맥도강변길 752-15,[고양이] 스코티시폴드,회색,2022,0.4,부산-강서-2022-00003,20220103,20220113,http://www.animal.go.kr/files/shelter/2021/12/202201031101900.jpeg,종료(자연사),Q,N,[Table],부산동물보호센터,051-832-7119,부산광역시 강서구 맥도강변길 752-15 (대저2동) ,부산광역시 강서구,김세희,051-970-4814,,999,1,8309,0
426336202101136 ,http://www.animal.go.kr/files/shelter/2021/12/202201031101543_s.jpg,2021-12-31,맥도강변길 752-15,[고양이] 스코티시폴드,회색,2022,1.8,부산-강서-2022-00002,20220103,20220113,http://www.animal.go.kr/files/shelter/2021/12/202201031101543.jpeg,종료(자연사),F,N,[Table],부산동물보호센터,051-832-7119,부산광역시 강서구 맥도강변길 752-15 (대저2동) ,부산광역시 강서구,김세희,051-970-4814,,999,1,8309,0
426336202101135 ,http://www.animal.go.kr/files/shelter/2021/12/202201031101652_s.jpg,2021-12-31,맥도강변길 752-15,[고양이] 스코티시폴드,회색,2018,2.5,부산-강서-2022-00001,20220103,20220113,http://www.animal.go.kr/files/shelter/2021/12/202201031101652.jpeg,종료(입양),F,U,[Table],부산동물보호센터,051-832-7119,부산광역시 강서구 맥도강변길 752-15 (대저2동) ,부산광역시 강서구,김세희,051-970-4814,,999,1,8309,0
426332202100613 ,http://www.animal.go.kr/files/shelter/2021/12/202201031801482_s.jpg,2021-12-31,"부산광역시 북구 만덕2로 10, 삼성아파트",[개] 믹스견,검정,2022,1.5,부산-북구-2022-00002,20220103,20220113,http://www.animal.go.kr/files/shelter/2021/12/202201031801482.jpg,종료(자연사),F,N,[Table],부산동물보호센터,051-832-7119,부산광역시 강서구 맥도강변길 752-15 (대저2동) ,부산광역시 북구,하정무,051-309-4651,,999,1,8309,0
426332202100612 ,http://www.animal.go.kr/files/shelter/2021/12/202201031801357_s.jpg,2021-12-31,"부산광역시 북구 만덕2로 10, 삼성아파트",[개] 믹스견,검정,2022,1.5,부산-북구-2022-00001,20220103,20220113,http://www.animal.go.kr/files/shelter/2021/12/202201031801357.jpg,종료(입양),M,N,[Table],부산동물보호센터,051-832-7119,부산광역시 강서구 맥도강변길 752-15 (대저2동) ,부산광역시 북구,하정무,051-309-4651,,999,1,8309,0
411323202100793 ,http://www.animal.go.kr/files/shelter/2022/01/202201120901479_s.jpg,2021-12-31,오금로 64 다길 16-1 인근,[개] 믹스견,갈색,2020,18,서울-송파-2022-00001,20220103,20220113,http://www.animal.go.kr/files/shelter/2022/01/202201120901479.jpg,종료(안락사),F,U,[Table],한국동물구조관리협회,031-867-9119,경기도 양주시 남면 감악산로 63-37 (남면) ,서울특별시 송파구,원은실,02-2147-2835,,999,1,8309,0
411322202100851 ,http://www.animal.go.kr/files/shelter/2021/12/202201031501268_s.jpg,2021-12-31,세곡동사거리 일대,[기타축종] 거북이,검,2022,0.9,서울-강남-2022-00001,20220103,20220113,http://www.animal.go.kr/files/shelter/2021/12/202201031501268.jpg,종료(안락사),Q,U,[Table],한국동물구조관리협회,031-867-9119,경기도 양주시 남면 감악산로 63-37 (남면) 한국동물구조관리협회,서울특별시 강남구,정복원,02-3423-5508,,999,1,8309,0
411318202100677 ,http://www.animal.go.kr/files/shelter/2021/12/202201031501492_s.jpg,2021-12-31,양평동1가 211-1 양평1동주민센터 인근,[고양이] 한국 고양이,갈/검/흰,2022,1.1,서울-영등포-2022-00001,20220103,20220113,http://www.animal.go.kr/files/shelter/2021/12/202201031501492.jpg,종료(자연사),M,N,[Table],한국동물구조관리협회,031-867-9119,경기도 양주시 남면 감악산로 63-37 ,서울특별시 영등포구,홍승우,02-2670-3417,,999,1,8309,0
411317202100488 ,http://www.animal.go.kr/files/shelter/2021/12/202201031501871_s.jpg,2021-12-31,가산동 468-4 가산디지털단지역 5번출구 앞,[개] 믹스견,갈/흰,2017,4.5,서울-금천-2022-00001,20220103,20220113,http://www.animal.go.kr/files/shelter/2021/12/202201031501871.jpg,종료(입양),M,Y,[Table],한국동물구조관리협회,031-867-9119,경기도 양주시 남면 감악산로 63-37 (남면) ,서울특별시 금천구,생활유통팀,02-2627-1313,,999,1,8309,0
411313202100909 ,http://www.animal.go.kr/files/shelter/2021/12/202112312012968_s.jpg,2021-12-31,망원2동 파출소 앞,[개] 말티즈,흰색,2019,1.74,서울-마포-2022-00001,20220103,20220113,http://www.animal.go.kr/files/shelter/2021/12/202112312012968.jpg,종료(반환),F,U,[Table],웰케어 동물병원,02-337-7575,"서울특별시 마포구 월드컵북로 27 (서교동, 이화빌딩) 서교동447-2",서울특별시 마포구,이동주,02-3153-8543,,999,1,8309,0
411311202100897 ,http://www.animal.go.kr/files/shelter/2021/12/202201031501699_s.jpg,2021-12-31,갈현동 서오릉 인근 도로 인도,[개] 푸들,검/흰,2015,3.5,서울-은평-2022-00002,20220103,20220113,http://www.animal.go.kr/files/shelter/2021/12/202201031501699.jpg,종료(입양),F,U,[Table],한국동물구조관리협회,031-867-9119,경기도 양주시 남면 감악산로 63-48  ,서울특별시 은평구,이지현,02-351-6842,,999,1,8309,0
448528202101165 ,http://www.animal.go.kr/files/shelter/2022/03/202203091503247_s.jpg,2021-12-31,완월남8길 25-4 주변,[개] 믹스견,흰색,2022,6,경남-창원2-2022-00001,20220102,20220113,http://www.animal.go.kr/files/shelter/2022/03/202203091503247.jpg,종료(입양),M,Y,[Table],마산유기동물보호소,055-225-5481,경상남도 창원시 마산합포구 진북면 지산2길 139-112 226-19,경상남도 창원시 마산합포회원구,창원시마산합포회원구,055-225-5701,,999,1,8309,0
448547202100602 ,http://www.animal.go.kr/files/shelter/2021/12/202201011501982_s.jpg,2021-12-31,거창읍 양평1길 100-12,[개] 셰퍼드,"검정, 흰색, 갈색",2019,21,경남-거창-2022-00001,20220101,20220111,http://www.animal.go.kr/files/shelter/2021/12/202201011501982.jpg,종료(입양),F,N,[Table],나래동물병원,055-942-8875,"경상남도 거창군 거창읍 거창대로 13-2 (거창읍, 칠성슈퍼) ",경상남도 거창군,거창군,055-940-8140,,999,1,8309,0
446481202101116 ,http://www.animal.go.kr/files/shelter/2021/12/202201011201908_s.jpg,2021-12-31,여서 주공아파트,[개] 말티즈,흰색,2020,2.5,전남-여수-2022-00001,20220101,20220111,http://www.animal.go.kr/files/shelter/2021/12/202201011201908.jpg,종료(입양),F,N,[Table],유기동물보호소,061-659-4429,"전라남도 여수시 주동1길 32 (주삼동, 여수시농업기술센터) 여수시 유기동물보호소",전라남도 여수시,축산정책팀,061-659-4429,,999,1,8309,0
442420202100813 ,http://www.animal.go.kr/files/shelter/2021/12/202201011301854_s.jpg,2021-12-31,주문진 연주로 GS편의점 앞,[개] 말티즈,흰색,2019,3.7,강원-강릉-2022-00001,20220101,20220111,http://www.animal.go.kr/files/shelter/2021/12/202201011301854.jpg,종료(입양),M,N,[Table],강릉시 동물사랑센터,033-641-7515,강원도 강릉시 성산면 내맬길 172  ,강원도 강릉시,동물정책과,033-640-5587,,999,1,8309,0
427345202100691 ,http://www.animal.go.kr/files/shelter/2021/12/202201010901379_s.jpg,2021-12-31,동천 119,[고양이] 한국 고양이,삼색,2022,1.3,대구-북구-2022-00002,20220101,20220111,http://www.animal.go.kr/files/shelter/2021/12/202201010901379.jpg,종료(자연사),F,N,[Table],대구유기동물보호협회,053-964-6258,대구광역시 동구 금강로 151-13 (금강동) ,대구광역시 북구,도유경,053-665-3192,,999,1,8309,0
427345202100689 ,http://www.animal.go.kr/files/shelter/2021/12/202201010901772_s.jpg,2021-12-31,사수동 한강공원,[고양이] 한국 고양이,흰+노랑,2020,7,대구-북구-2022-00001,20220101,20220111,http://www.animal.go.kr/files/shelter/2021/12/202201010901772.jpg,종료(자연사),M,Y,[Table],대구유기동물보호협회,053-964-6258,대구광역시 동구 금강로 151-13 (금강동) ,대구광역시 북구,도유경,053-665-3192,,999,1,8309,0
427344202100604 ,http://www.animal.go.kr/files/shelter/2021/12/202201010901912_s.jpg,2021-12-31,현충로72 자동차 랜드 앞,[고양이] 한국 고양이,노랑,2020,5.5,대구-남구-2022-00001,20220101,20220111,http://www.animal.go.kr/files/shelter/2021/12/202201010901912.jpg,종료(자연사),F,Y,[Table],대구유기동물보호협회,053-964-6258,대구광역시 동구 금강로 151-13 (금강동) ,대구광역시 남구,,053-664-2644,,999,1,8309,0
427342202100725 ,http://www.animal.go.kr/files/shelter/2021/12/20220101090197_s.jpg,2021-12-31,봉무동 명인족발 앞,[개] 믹스견,갈색+검정,2018,6,대구-동구-2022-00001,20220101,20220111,http://www.animal.go.kr/files/shelter/2021/12/20220101090197.jpg,종료(반환),M,N,[Table],대구유기동물보호센터,053-964-6258,대구광역시 동구 금강로 151-13 (금강동) ,대구광역시 동구,박우희,053-662-2654,,999,1,8309,0
448567202101344 ,http://www.animal.go.kr/files/shelter/2021/12/202112311412279_s.jpg,2021-12-31,의창구 북면 감계 힐스테이트 114동 부근,[개] 라브라도 리트리버,갈색,2015,25,경남-창원1-2021-00721,20211231,20220110,http://www.animal.go.kr/files/shelter/2021/12/202112311412279.jpg,종료(반환),M,N,[Table],창원유기동물보호소,055-225-5481,"경상남도 창원시 의창구 창이대로 71 (명서동, 창원시농업기술센터) 축산과",경상남도 창원시 의창성산구,창원시의창성산구,055-225-5701,,999,1,8309,0
448548202100578 ,http://www.animal.go.kr/files/shelter/2021/12/202112311512105_s.jpg,2021-12-31,합천읍,[개] 믹스견,갈색,2018,8,경남-합천-2021-00431,20211231,20220110,http://www.animal.go.kr/files/shelter/2021/12/202112311512105.jpg,종료(안락사),F,N,[Table],태민동물병원,010-2868-2108,"경상남도 합천군 합천읍 옥산로 16 (합천읍, 까치빌라) 태민동물병원",경상남도 합천군,정주연,055-930-3565,,999,1,8309,0
448548202100577 ,http://www.animal.go.kr/files/shelter/2021/12/202112311512303_s.jpg,2021-12-31,용주면,[개] 믹스견,흰색 검은색 ,2017,17,경남-합천-2021-00430,20211231,20220110,http://www.animal.go.kr/files/shelter/2021/12/202112311512303.jpg,종료(입양),F,N,[Table],태민동물병원,010-2868-2108,"경상남도 합천군 합천읍 옥산로 16 (합천읍, 까치빌라) 태민동물병원",경상남도 합천군,정주연,055-930-3565,,999,1,8309,0
448548202100576 ,http://www.animal.go.kr/files/shelter/2021/12/202112311512635_s.jpg,2021-12-31,용주면,[개] 믹스견,갈색 ,2018,10,경남-합천-2021-00429,20211231,20220110,http://www.animal.go.kr/files/shelter/2021/12/202112311512635.jpg,종료(입양),F,N,[Table],태민동물병원,010-2868-2108,"경상남도 합천군 합천읍 옥산로 16 (합천읍, 까치빌라) 태민동물병원",경상남도 합천군,정주연,055-930-3565,,999,1,8309,0
448546202100461 ,http://www.animal.go.kr/files/shelter/2021/12/202112311712153_s.jpg,2021-12-31,안의면 당본리,[개] 믹스견,"흰색, 노란색",2014,15,경남-함양-2021-00248,20211231,20220110,http://www.animal.go.kr/files/shelter/2021/12/202112311712153.jpg,종료(안락사),F,N,[Table],함양군위탁보호소,055-960-8143,"경상남도 함양군 함양읍 함양남서로 996-76 (함양읍, 농업기술센터) ",경상남도 함양군,,055-960-8140,,999,1,8309,0
